Quế chi;Ramulus Cinnamomi
Thảo quả;Fructus Amomi aromatici
Phụ tử;Radix Aconiti lateralis
Hà diệp (lá sen);Folium Nelumbinis nuciferae
Sinh địa (Rễ địa hoàng);Radix Rehmanniae glutinosae
Thục địa;Radix Rehmanniae glutinosae praeparata
Bách bộ;Radix Stemonae tuberosae
Bách hợp (Thân hành);Bulbus Lilii
Tiền hồ;Radix Peucedani
Mẫu lệ (Vỏ hàu);Concha Ostreae
Toan táo nhân;Semen Ziziphi mauritianae
Xương bồ;Rhizoma Acori
Hương phụ (Củ gấu);Rhizoma Cyperi
Hoắc hương;Herba Pogostemonis
Hy thiêm;Herba Siegesbeckiae
Nhân sâm;Rhizoma et Radix Ginseng
Ngũ vị tử;Fructus Schisandrae chinensis
Sơn tra;Fructus Mali
Khiếm thực;Semen Euryales
Thạch cao;Gypsum fibrosum
Đan sâm;Radix et Rhizoma Salviae Miltiorrhizae
Bạc hà;Herba Menthae
Kim anh tử;Rosa laevigata Michx
Kim ngân hoa;Flos Lonicerae
Hoàng liên;Rhizoma Coptidis
Bán hạ;Rhizoma Pinelliae
Thiên trúc hoàng;Concretio Silicea Bambusae
Chu sa;Cinnabaris (HgS)
Cà độc dược;Flos Daturae metelis
Tam thất;Radix Panasis notoginseng
Bạch phục linh;Poria
Ba kích;Radix Morindae officinalis
Đại hoàng;Rhizoma Rhei
Mật ong;Mel
Sử quân tử;Semen Quisqualis
Cam toại;Radix Euphorbiae kansui
